filename,abs_filepath,emotion
Ses03M_script03_2_M039,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script03_2/Ses03M_script03_2_M039.wav,Anger
Ses03M_script03_2_M011,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script03_2/Ses03M_script03_2_M011.wav,Anger Other
Ses03M_script03_2_M005,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script03_2/Ses03M_script03_2_M005.wav,Anger Other
Ses03M_script03_2_F018,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script03_2/Ses03M_script03_2_F018.wav,Other Frustration Neutral
Ses03M_script03_2_F030,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script03_2/Ses03M_script03_2_F030.wav,Anger Sadness Other
Ses03M_script03_2_F024,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script03_2/Ses03M_script03_2_F024.wav,Anger Neutral
Ses03M_script03_2_F043,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script03_2/Ses03M_script03_2_F043.wav,Anger
Ses03M_script03_2_F042,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script03_2/Ses03M_script03_2_F042.wav,Anger
Ses03M_script03_2_F040,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script03_2/Ses03M_script03_2_F040.wav,Anger
Ses03M_script03_2_F041,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script03_2/Ses03M_script03_2_F041.wav,Anger
Ses03M_script03_2_F045,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script03_2/Ses03M_script03_2_F045.wav,Anger
Ses03M_script03_2_F044,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script03_2/Ses03M_script03_2_F044.wav,Anger
Ses03M_script01_1_F046,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F046.wav,Sadness Neutral
Ses03M_script01_1_F044,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F044.wav,Anger Frustration
Ses03M_script01_1_F045,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F045.wav,Sadness
Ses03M_script01_1_F041,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F041.wav,Anger Frustration Sadness
Ses03M_script01_1_F040,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F040.wav,Sadness Neutral
Ses03M_script01_1_F042,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F042.wav,Anger Frustration
Ses03M_script01_1_F043,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F043.wav,Anger Frustration Sadness
Ses03M_script01_1_M005,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M005.wav,Sadness Neutral
Ses03M_script01_1_M011,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M011.wav,Anger Frustration
Ses03M_script01_1_M039,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M039.wav,Anger Frustration
Ses03M_script01_1_F024,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F024.wav,Anger Sadness Neutral
Ses03M_script01_1_F030,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F030.wav,Sadness Neutral
Ses03M_script01_1_F018,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F018.wav,Anger Frustration Neutral
Ses03M_script01_1_F019,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F019.wav,Frustration Sadness Neutral
Ses03M_script01_1_F031,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F031.wav,Frustration
Ses03M_script01_1_F025,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F025.wav,Anger Frustration
Ses03M_script01_1_M038,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M038.wav,Sadness Neutral
Ses03M_script01_1_M010,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M010.wav,Anger Frustration
Ses03M_script01_1_M004,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M004.wav,Sadness Neutral
Ses03M_script01_1_M012,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M012.wav,Anger Frustration
Ses03M_script01_1_M006,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M006.wav,Sadness Neutral
Ses03M_script01_1_F033,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F033.wav,Frustration
Ses03M_script01_1_F027,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F027.wav,Frustration Sadness Neutral
Ses03M_script01_1_F026,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F026.wav,Anger Frustration
Ses03M_script01_1_F032,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F032.wav,Frustration Neutral
Ses03M_script01_1_M007,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M007.wav,Sadness Neutral
Ses03M_script01_1_M013,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M013.wav,Frustration Sadness Neutral
Ses03M_script01_1_M017,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M017.wav,Frustration Neutral
Ses03M_script01_1_M003,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M003.wav,Sadness Neutral
Ses03M_script01_1_F036,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F036.wav,Surprise Anger Sadness
Ses03M_script01_1_F022,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F022.wav,Anger Frustration
Ses03M_script01_1_F023,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F023.wav,Frustration Sadness Neutral
Ses03M_script01_1_F037,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F037.wav,Surprise Anger Frustration
Ses03M_script01_1_M002,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M002.wav,Sadness Neutral
Ses03M_script01_1_M016,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M016.wav,Anger Frustration
Ses03M_script01_1_M028,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M028.wav,Frustration Neutral
Ses03M_script01_1_M000,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M000.wav,Sadness Neutral
Ses03M_script01_1_M014,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M014.wav,Anger Frustration
Ses03M_script01_1_F009,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F009.wav,Surprise Frustration Neutral
Ses03M_script01_1_F021,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F021.wav,Frustration Neutral
Ses03M_script01_1_F035,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F035.wav,Frustration Sadness Neutral
Ses03M_script01_1_F034,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F034.wav,Anger Frustration
Ses03M_script01_1_F020,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F020.wav,Anger Frustration
Ses03M_script01_1_F008,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F008.wav,Sadness
Ses03M_script01_1_M015,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M015.wav,Frustration Neutral
Ses03M_script01_1_M001,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M001.wav,Sadness Neutral
Ses03M_script01_1_M029,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M029.wav,Frustration Neutral
Ses03M_script01_1_M024,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M024.wav,Frustration
Ses03M_script01_1_M030,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M030.wav,Sadness Neutral
Ses03M_script01_1_M018,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M018.wav,Frustration Sadness Neutral
Ses03M_script01_1_F005,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F005.wav,Sadness
Ses03M_script01_1_F011,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F011.wav,Anger Frustration Neutral
Ses03M_script01_1_F039,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F039.wav,Anger Frustration Other
Ses03M_script01_1_F038,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F038.wav,Anger Frustration
Ses03M_script01_1_F010,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F010.wav,Anger Frustration Neutral
Ses03M_script01_1_F004,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F004.wav,Sadness Neutral
Ses03M_script01_1_M019,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M019.wav,Neutral
Ses03M_script01_1_M031,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M031.wav,Sadness Neutral
Ses03M_script01_1_M025,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M025.wav,Frustration Sadness
Ses03M_script01_1_M033,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M033.wav,Frustration Sadness
Ses03M_script01_1_M027,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M027.wav,Anger Frustration
Ses03M_script01_1_F012,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F012.wav,Anger Frustration Neutral
Ses03M_script01_1_F006,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F006.wav,Surprise Anger Frustration
Ses03M_script01_1_F007,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F007.wav,Frustration Sadness
Ses03M_script01_1_F013,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F013.wav,Anger Frustration
Ses03M_script01_1_M026,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M026.wav,Frustration
Ses03M_script01_1_M032,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M032.wav,Anger Frustration Neutral
Ses03M_script01_1_M036,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M036.wav,Frustration Sadness
Ses03M_script01_1_M022,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M022.wav,Anger Frustration
Ses03M_script01_1_F017,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F017.wav,Anger Neutral
Ses03M_script01_1_F003,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F003.wav,Surprise Anger Neutral
Ses03M_script01_1_F002,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F002.wav,Surprise Fear
Ses03M_script01_1_F016,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F016.wav,Anger Frustration
Ses03M_script01_1_M023,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M023.wav,Anger Frustration
Ses03M_script01_1_M037,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M037.wav,Sadness Neutral
Ses03M_script01_1_M009,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M009.wav,Anger Frustration
Ses03M_script01_1_M021,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M021.wav,Frustration Neutral
Ses03M_script01_1_M035,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M035.wav,Frustration Sadness
Ses03M_script01_1_F028,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F028.wav,Neutral
Ses03M_script01_1_F000,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F000.wav,Sadness Neutral
Ses03M_script01_1_F014,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F014.wav,Anger Frustration Sadness
Ses03M_script01_1_F015,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F015.wav,Anger Frustration
Ses03M_script01_1_F001,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F001.wav,Surprise Frustration
Ses03M_script01_1_F029,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_F029.wav,Anger Fear Neutral
Ses03M_script01_1_M034,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M034.wav,Frustration
Ses03M_script01_1_M020,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M020.wav,Frustration
Ses03M_script01_1_M008,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M008.wav,Frustration Sadness
Ses03M_script01_1_M047,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M047.wav,Sadness Neutral
Ses03M_script01_1_M046,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M046.wav,Sadness Neutral
Ses03M_script01_1_M044,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M044.wav,Frustration Sadness Neutral
Ses03M_script01_1_M045,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M045.wav,Frustration Sadness
Ses03M_script01_1_M041,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M041.wav,Anger Frustration
Ses03M_script01_1_M040,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M040.wav,Anger Frustration
Ses03M_script01_1_M042,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M042.wav,Anger Frustration
Ses03M_script01_1_M043,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03M_script01_1/Ses03M_script01_1_M043.wav,Frustration Neutral
Ses03F_script02_2_F051,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F051.wav,Sadness
Ses03F_script02_2_F045,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F045.wav,Happiness Neutral
Ses03F_script02_2_F044,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F044.wav,Happiness Neutral
Ses03F_script02_2_F050,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F050.wav,Happiness Neutral
Ses03F_script02_2_F046,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F046.wav,Excited Happiness Neutral
Ses03F_script02_2_F052,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F052.wav,Excited Happiness Neutral
Ses03F_script02_2_F047,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F047.wav,Excited Happiness Neutral
Ses03F_script02_2_F043,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F043.wav,Happiness Neutral
Ses03F_script02_2_F042,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F042.wav,Excited Frustration
Ses03F_script02_2_F040,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F040.wav,Sadness
Ses03F_script02_2_F041,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F041.wav,Frustration
Ses03F_script02_2_F032,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F032.wav,Frustration
Ses03F_script02_2_F026,/Users/nicokalkusinski/Documents/Github repos/FYP/FYP-Speech-Emotion-Recognition/Datasets/IEMOCAP/Audio/Session3/Ses03F_script02_2/Ses03F_script02_2_F026.wav,Sadness
